Hala-Muži-60 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
17,15.03,,1,Ondřej Hanuš,88,Sokol Kolín,Praha,17.2.2007
18,15.02,,1,Zbyněk Vašek,70,Dynamo Pardubice,Jablonec n. N.,8.1.1989
19,14.99,,1,Lukáš Klíma,80,SK SŠ Brno,Ostrava,25.1.1997
20,14.94,,1,František Buba,0,TJ TŽ Třinec,Ostrava,24.2.2018
21,14.93,,3,Oldřich Krmela,62,Sparta ČKD Praha,Jablonec n. N.,31.1.1981
22,14.92,,1,Zdeněk Kubát,98,Dukla Praha,Ostrava,18.2.2017
23,14.88,,2,Radim Helán,77,SK SŠ Brno,Jablonec n. N.,12.2.1995
,,,,,,,,
Hala-Junioři-tyč,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,5.43,,2,Jan Kudlička,88,Sokol Opava,Praha,24.2.2007
2,5.4,,1,Adam Ptáček,80,SSK Vítkovice,Praha,7.2.1998
3,5.26,,S,Dan Bárta,98,ASK Slavia Praha,Ostrava,19.2.2017
4,5.25,,4,Matěj Urban,75,ASK Slavia Praha,Praha,22.2.1994
5,5.22,,1,Pavel Beran,76,USK Praha,Praha,22.1.1994
6,5.21,,2,Martin Kysela,74,Dukla Praha,Praha,20.2.1993
7,5.2,,2,Pavel Sluka,64,VŠ Praha,Jablonec n. N.,19.2.1983
8,5.2,,1,Zdeněk Šafář,75,Dukla Praha,Jablonec n. N.,26.2.1994
9,5.2,,1,Jan Žalud,77,USK Praha,Praha,1.3.1995
10,5.12,,1,Lukáš Posekaný,92,A.C. Tepo Kladno,Praha,27.2.2011
11,5.11,,1,Karel Janko,74,PSK Olymp Praha,Chrudim,30.1.1993
12,5.11,,2,Štěpán Janáček,77,Dukla Praha,Praha,20.1.1996
13,5.1,,1,Roman Zrun,60,RH Praha,Ostrava,27.1.1979
14,5.1,,2,František Jansa,62,VŠ Praha,Chrudim,18.2.1981
15,5.05,,6,Jan Netscher,75,USK Praha,Praha,22.2.1994
16,5.02,,1,Ondřej  Kopecký,98,AC Pardubice,Praha,13.1.2017
17,5.02,,1,Matěj  Ščerba ,98,AC Ústí n. L.,Praha,10.2.2017
18,5,,1,Lukáš Bechyně,83,AC Turnov,Praha,23.2.2002
19,5,,S,Adam Pašiak,90,AK Zlín,Zaragoza,1.2.2009
20,4.92,,1,Jaroslav Chlebík,91,AC Čejkovice,Praha,20.2.2010
,,,,,,,,
Hala-Junioři-výška,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,2.32,,3,Jaroslav Bába,84,SSK Vítkovice,Arnstadt,8.2.2003
2,2.27,,2,Svatoslav Ton,78,SK SŠ Brno,Praha,23.2.1997
3,2.21,,1,Jiří Křehula,82,AC Mor. Slavia Brno,Praha,25.2.2001
4,2.2,,1,Petr Kratochvíl,68,RH Č. Budějovice,Praha,2.2.1986
5,2.2,,1,Martin Heindl,92,JAC Brno,Brno,8.1.2011
6,2.19,,1,Milan Pavlík,67,Slavia IPS Praha,Praha,3.2.1985
7,2.19,,2,Stanislav Sajdok,83,TŽ Třinec,Praha,24.2.2002
8,2.18,,5=,Radek Mach,67,Škoda Plzeň,Praha,27.1.1985
9,2.18,,1,Jiří Viktorín,73,Škoda Č. Budějovice,Jablonec n. N.,17.2.1991
10,2.18,,1,Tomáš Janků,74,LIAZ Jablonec n. N.,Jablonec n. N.,6.2.1993
11,2.17,,2,Vladimír Štalmach,65,TJ Vítkovice,Praha,6.2.1983
12,2.15,,4,Milan Machotka,63,RH Č. Budějovice,Jablonec n. N.,21.2.1982
13,2.15,,4A,Josef Bělohlávek,69,Sparta ČKD Praha,Čejkovice,8.3.1988
14,2.15,,1,Jan Janků,71,LIAZ Jablonec n. N.,Plzeň,13.3.1990
15,2.15,,1,Michal Špak,86,VSK Univerzita Brno,Praha,13.2.2005
16,2.15,,7,Roman Novotný,86,VSK Univerzita Brno,Jablonec n. N.,11.3.2005
17,2.15,,2B,Jan Sommerschuh,90,Lovochemie Lovosice,Hustopeče,24.1.2009
18,2.14,,2A,Vladimír Malý,52,Zbrojovka Brno,Praha,14.2.1971
19,2.14,,4,Tomáš Ort,76,USK Praha,Praha,28.2.1995
20,2.14,,2,Marek Bahník,99,Sokol Hradec Králové,Praha,17.2.2018
21,2.13,,1,Milan Palát,60,TJ Valašské Meziříčí,Havířov,11.3.1979
22,2.13,,2,Jaroslav Skalník,63,Bohemians ČKD Praha,Kolín,10.2.1982
23,2.13,,4,Vladimír Kouba,63,Bohemians ČKD Praha,Praha,14.2.1982
,,,,,,,,
Hala-Junioři-chůze 5000m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,20:01.4,,6,Rudolf Cogan,71,VŠ Praha,Praha,17.2.1990
2,20:26.3,,1,Tomáš Kratochvíl,71,RH Praha,Praha,27.1.1990
3,20:37.9,,1,Jiří Chaloupka,85,Sokol Nová Paka,Eaubonne,29.2.2004
4,20:51.6,,10,Jakub Záluský,73,Dynamo ZČE Plzeň,Praha,15.2.1992
5,21:40.0,,1,Pavel Svoboda,80,AC Slovan Liberec,Praha,27.2.1999
6,21:42.0,,1,Rostislav Rožnovský,0,SSK Vítkovice,Ostrava,20.1.2019
7,21:48.2,,1,Pavol Jati,59,TŽ Třinec,Ostrava,5.2.1978
8,21:55.6,,1,Roman Říha,90,Slezan Frýdek-Místek,Praha,8.2.2009
9,21:56.6,,1,Lukáš Gdula,91,Hvězda SKP Pardubice,Praha,14.2.2010
10,22:00.3,,2,Martin Bukáček,90,ASK Slavia Praha,Praha,8.2.2009
11,22:02.9,,1,Marek Blažek,76,AC Rumburk,Praha,25.2.1995
12,22:03.4,,6,Radomír Škaloud,72,Škoda Plzeň,Praha,10.2.1990
13,22:04.2,,3,Karel Kelner,90,AO Slavia Havířov,Praha,8.2.2009
14,22:17.0,,4,Pavel Schrom,91,AK Škoda Plzeň,Praha,8.2.2009
15,22:23.2,,1,Tomáš Hlavenka,77,USK Praha,Praha,24.2.1996
16,22:28.1,,7,Miloš Zedník,70,Slavia IPS Praha,Praha,21.1.1989
17,22:37.2,,2,Tomáš Waloschek,70,Slavia Havířov,Ostrava,15.1.1989
18,22:39.5,,1,Vít Hlaváč,97,A.C. Tepo Kladno,Praha,14.2.2016
19,22:39.8,,3,Petr Kafka,77,AC Slovan Liberec,Praha,25.2.1995
20,22:40.2,,11,František Hippmann,75,Jiskra Nový Bor,Praha,20.2.1993
21,22:40.3,,3,Petr Lukšíček,71,Slavia Havířov,Ostrava,15.1.1989
22,20:19.3,,2,Pavel Svoboda,80,AC Slovan Liberec,Jablonec n. N.,
23,20:35.9,,2,Jiří Chaloupka,85,Sokol Nová Paka,Jablonec n. N.,19.2.2003
24,21:14.2,,1,Lukáš Gdula,91,Hvězda SKP Pardubice,Jablonec n. N.,27.12.2010
25,21:33.6,,4,Radomír Škaloud,72,Škoda Plzeň,Jablonec n. N.,
26,21:36.8,,4,Radek Pařízek,82,Sokol Nová Paka,Jablonec n. N.,15.1.2000
27,21:48.4,,3,Marek Blažek,76,AC Rumburk,Jablonec n. N.,
28,21:52.4,,4,Jakub Kožíšek,80,AC Rumburk,Jablonec n. N.,
29,21:56.2,,2,Ondřej Motl,94,TJ Rumburk,Jablonec n. N.,
30,22:13.1,,2,Pavel Schrom,91,VSK Univerzita Brno,Jablonec n. N.,27.12.2010
31,22:24.1,,3,Stanislav Herman,85,Sokol Nová Paka,Jablonec n. N.,19.2.2003
32,22:29.8,,2,Jaroslav Makovec,60,LIAZ Jablonec n. N.,Jablonec n. N.,13.1.1979
33,22:34.2,,4,Patrik Hlavsa,84,Sokol Nová Paka,Jablonec n. N.,19.2.2003
34,22:38.8,,7,Martin Nedvídek,75,AC Rumburk,Jablonec n. N.,28.12.1994
,,,,,,,,
Hala-Dorostenci-60 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,6.8,,1b1,Marek Bakalár,95,A.C. Tepo Kladno,Praha,14.1.2012
2,6.87,,2r1,Štěpán  Hampl,99,Sokol Kolín,Ostrava,27.2.2016
3,6.88,,2s1,Lukáš Patera,86,AC Pardubice,Bratislava,1.3.2003
4,6.88,,2B,Martin Říčař,91,SK Čéč. Č. Budějovice,Praha,2.2.2008
5,6.88,,1,Matěj Krsek,0,A.C. Tepo Kladno,Ostrava,18.2.2017
6,6.89,,1r4,Alexandr Herman,91,Lokomotiva Břeclav,Bratislava,31.1.2008
7,6.91,,2r1,Václav Zich,90,ŠAK Chodov,Praha,24.2.2007
8,6.93,,1A,Zdeněk Stromšík,94,SKM Valašské Meziříčí,Praha,19.12.2009
9,6.97,,1,Tobiáš Dvorský,1,TJ Spartak Třebíč,Ostrava,24.2.2018
10,6.99,,2,Stanislav Jíra,0,Sokol Kolín,Ostrava,18.2.2017
11,6.99,,1,Tadeáš Formánek,2,Sokol Opava,Ostrava,3.2.2018
12,7,,1A,Tomáš Knebl,83,Lokomotiva Rakovník,Praha,19.2.2000
13,7,,1,Michal Desenský,93,Sokol Hradec Králové,Praha,20.2.2010
14,7,,3,Tomáš Nevole,0,SK Spartak Praha 4,Ostrava,18.2.2017
15,7.01,,1r3,Jiří Hudec,64,Zbrojovka Brno,Jablonec n. N.,14.2.1981
16,7.01,,1r1,Martin Černák,72,LIAZ Jablonec n. N.,Jablonec n. N.,11.2.1989
17,7.01,,1,Petr Pavlíček,74,Lokomotiva Bílina,Jablonec n. N.,19.1.1991
18,7.01,,1A,Jiří Pechar,1,A.C. Sparta Praha,Praha,3.2.2018
19,7.01,,1,Armin Ntemo,2,USK PROVOD Ústí n/L.,Jablonec n. N.,11.2.2018
20,7.03,,1,Pavel Pospíšil,74,TJ Vítkovice,Jablonec n. N.,17.2.1990
21,7.03,,5s2,Jaroslav Šmotek,86,SK Přerov,Bratislava,1.3.2003
22,7.03,,1,Adam Gold,89,VSK Univerzita Brno,Bratislava,4.2.2006
23,7.03,,2,Lukáš Šťastný,91,Dukla Praha,Praha,16.2.2008
24,7.03,,2,Vojtěch Netymach,95,AC Pardubice,Praha,18.2.2012
25,7.03,,1A,Jiří Feigel,97,A.C. Tepo Kladno,Praha,1.2.2014
26,6.7,,1b1,Bohumil Techlovský,53,RH Praha,Praha,14.2.1970
27,6.7,,1,Ivo Krsek,67,Jiskra Ústí n. O.,Jablonec n. N.,19.2.1984
,,,,,,,,
Hala-Dorostenci-200 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,21.62,,1,Matěj Krsek,0,A.C. Tepo Kladno,Praha,21.2.2016
2,21.77,,1r1,Tomáš Němejc,0,Sokol Č. Budějovice,Ostrava,19.2.2017
3,21.89,,1,Jiří Pechar,1,A.C. Sparta Praha,Ostrava,25.2.2018
4,21.92,,1,Lukáš Šťastný,91,Dukla Praha,Praha,17.2.2008
5,21.96,,1,Jáchym Procházka,97,Jiskra Ústí n. O.,Praha,23.2.2014
6,22.03,,2,Tobiáš Dvorský,1,TJ Spartak Třebíč,Ostrava,25.2.2018
7,22.09,,2,Tomáš Nevole,0,SK Spartak Praha 4,Ostrava,19.2.2017
8,22.14,,2,Martin Říčař,91,SK Čéč. Č. Budějovice,Praha,17.2.2008
9,22.18,,2,Matěj  Nádhera ,0,SKP Union Cheb,Praha,21.2.2016
10,22.2,,1,Michal Desenský,93,Sokol Hradec Králové,Praha,21.2.2010
11,22.22,,1b11,Pavel Maslák,91,AO Slavia Havířov,Wien,29.1.2008
12,22.22,,1b1,Josef Drahota,3,ASK Slavia Praha,Praha,3.2.2019
13,22.28,,1b1,Daniel  Vejražka ,0,ASK Slavia Praha,Praha,5.2.2017
14,22.3,,2,Jiří Feigel,97,A.C. Tepo Kladno,Praha,23.2.2014
15,22.34,,1b1,Marek Bakalár,95,A.C. Tepo Kladno,Praha,14.1.2012
16,22.35,,1b1,Václav Zich,90,ŠAK Chodov,Praha,28.1.2007
17,22.35,,3,Štěpán Voborník,0,AK Hodonín,Ostrava,19.2.2017
18,22.35,,2r3,Filip Bárta,0,Sokol Č. Budějovice,Ostrava,19.2.2017
19,22.43,,1r2,Tomáš Balcar,79,Jiskra Ústí n. O.,Praha,25.2.1996
20,22.45,,2b1,Filip Ličman,0,AK Škoda Plzeň,Praha,21.1.2017
21,22.45,,1b1,Lukáš Petrikovič,2,SKP Union Cheb,Praha,3.2.2019
22,22.48,,1A,Michal Škvára,78,AC Poldi Kladno,Ostrava,12.2.1995
23,22.48,,1b2,Jiří Kmínek,82,TJ Dvůr Králové n. L.,Praha,7.2.1999
24,22.49,,2b5,Zdeněk Stromšík,94,SK Mlád. Val. Meziříčí,Praha,9.2.2010
25,22.49,,3,Jan Klíma,99,ASK Slavia Praha,Praha,21.2.2016
26,22.47,,1r3,Václav Šíma,72,LIAZ Jablonec n. N.,Jablonec n. N.,12.2.1989
27,49.79,,2,Filip Ličman,0,AK Škoda Plzeň,Ostrava,19.2.2017
,,,,,,,,
Hala-Dorostenci-400 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,48.82,,1,Pavel Maslák,91,AO Slavia Havířov,Praha,17.2.2008
2,48.86,,1b1,Tadeáš Plaček,3,VSK Univerzita Brno,Ostrava,2.2.2019
3,48.89,,1A,Petr Mareš,66,Škoda Plzeň,Praha,27.2.1983
4,49.07,,1A,Marcel Sendler,70,Zbrojovka Brno,Praha,15.2.1987
5,49.11,,2,Daniel Němeček,91,ASK Slavia Praha,Praha,17.2.2008
6,49.29,,2B,Michal Musil,75,TJ Vítkovice,Praha,16.2.1992
7,49.42,,3b8,Lukáš Hodboď,96,SKP Nymburk,Wien,9.2.2013
8,49.44,,1,Daniel  Vejražka ,0,TJ Klášterec n. O. ,Praha,21.2.2016
9,49.45,,1A,Václav Hřích,72,SONP Poldi Kladno,Praha,29.1.1989
10,49.5,,1,Martin Vinš,92,AC Mladá Boleslav,Praha,15.2.2009
11,49.6,,2,Ondřej  Holub,99,AC Pardubice,Praha,21.2.2016
12,49.66,,1,Daniel Monzar,97,AC Jablonec n. N.,Praha,23.2.2014
13,49.67,,1,Robin Konvica,88,SK Speed Brno,Praha,13.2.2005
14,49.71,,2b1,David Bix,2,TJ Znojmo,Ostrava,2.2.2019
15,49.77,,2b2,Jáchym Procházka,97,Jiskra Ústí n. O.,Praha,25.2.2014
16,49.8,,2,Martin Hrstka,89,ŠAK Chrudim,Praha,13.2.2005
17,49.81,,1A,Jiří Balásek,80,ŠAK SG Jablonec n. N.,Praha,9.2.1997
18,49.81,,1,Petr Langmaier,90,AK Škoda Plzeň,Praha,18.2.2007
19,49.82,,1A,Milan Vyroubal,75,Spolana Neratovice,Praha,2.2.1992
20,49.93,,2b1,Miroslav Burian,92,Dukla Praha,Praha,26.1.2008
21,49.93,,1,Jiří  Polák ,98,Sokol Č. Budějovice ,Praha,15.2.2015
22,49.64,,3A,Jiří Janoušek,67,RH Cheb,Jablonec n. N.,12.2.1984
23,49.2,,1r5,Václav Hřích,72,Poldi SONP Kladno,Praha,28.1.1989
24,49.7,,1A,Zdeněk Hájek,63,Slezan Opava,Praha,23.2.1980
,,,,,,,,
Hala-Dorostenci-800 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,01:51.8,,2,Martin Hrstka,89,Hvězda SKP Pardubice,Praha,26.2.2006
2,01:53.3,,1b5,Miroslav Burian,92,Dukla Praha,Wien,3.2.2009
3,01:53.4,,1,Václav  Staněk ,98,AK Zlín,Praha,15.2.2015
4,01:53.4,,2,Luboš Stloukal,71,Zbrojovka Brno,Praha,31.1.1988
5,01:53.4,,3,Pavel Soukup,71,Škoda Plzeň,Praha,31.1.1988
6,01:53.8,,2,Lukáš  Symerský ,98,SSK Vítkovice ,Praha,15.2.2015
7,01:53.8,,1,Pavel Klodner,75,Transporta Chrudim,Praha,2.2.1992
8,01:54.2,,1b1,Filip Sasínek,96,AK Hodonín,Wien,19.1.2013
9,01:54.9,,1b7,Roman Oravec,78,SK SŠ Brno,Praha,15.2.1995
10,01:54.9,,1b1,Tomáš Vystrk,93,Slezan Opava,Praha,16.1.2010
11,01:54.9,,1,Martin Kováčech,1,SSK Vítkovice,Ostrava,25.2.2018
12,01:55.0,,2,Jakub Davidík,2,TJ Baník Stříbro,Ostrava,25.2.2018
13,01:55.4,,1,Štěpán Jirman,97,Sokol Hradec Králové,Praha,23.2.2014
14,01:55.6,,,Tomáš Procházka,65,Dynamo Pardubice,,
15,01:55.6,,5r1,Ondřej Křička,80,ASK Slavia Praha,Praha,22.2.1997
16,01:55.9,,3,Tadeáš Janík,1,TJ Spartak Třebíč,Ostrava,25.2.2018
17,01:55.9,,3,Jiří Maidl,68,Technika Brno,Praha,3.2.1985
18,01:55.9,,3b2,Patrik Šorm,93,USK Praha,Praha,7.2.2010
19,01:55.9,,5b5,Daniel Grecman,93,SSK Vítkovice,Wien,2.2.2010
20,01:56.0,,4,Jiří Štulpa,71,TJ Svitavy,Praha,31.1.1988
21,01:56.0,,1,Tomáš Kotas,74,Slovan Liberec,Praha,3.2.1991
22,01:56.1,,1,Jan Pernica,81,SSK Vítkovice,Praha,8.2.1998
23,01:56.3,,2,Jaroslav Haršány,75,TJ Vítkovice,Ostrava,23.2.1992
24,01:53.6,,5,Pavel Hujer,69,LIAZ Jablonec n. N.,Jablonec n. N.,9.2.1986
25,01:53.8,,1,Pavel Klodner,75,Transporta Chrudim,Jablonec n. N.,8.2.1992
26,01:54.5,,3,Lubomír Pokorný,75,TJ Jičín,Jablonec n. N.,8.2.1992
27,01:55.1,,5,Karel Míček,72,Spartak Ústí n. L.,Jablonec n. N.,12.2.1989
28,01:55.6,,1,Petr Krejčíř,67,Slávia Kroměříž,Jablonec n. N.,12.2.1984
29,01:56.2,,1,Lukáš Vydra,73,Spartak Praha 4,Jablonec n. N.,18.2.1990
30,01:56.3,,1,Pavel Jehlička,57,Slovan Kadaň,Jablonec n. N.,3.3.1974
,,,,,,,,
Hala-Dorostenci-1500 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,03:55.3,,1b1,Filip Sasínek,96,AK Hodonín,Bratislava,26.1.2013
2,03:57.4,,1b1,Lubomír Pokorný,75,TJ Jičín,Praha,2.2.1992
3,03:59.3,,1,David Arabasz,78,SSK Vítkovice,Ostrava,1.3.1995
4,04:00.6,,3b1,Tomáš Procházka,65,Dynamo Pardubice,Ostrava,7.2.1982
5,04:00.7,,1,Jakub Živec,90,Lovochemie Lovosice,Praha,8.12.2007
6,04:00.7,,7b1,Daniel Kotyza,0,VSK Univerzita Brno,Bratislava,29.1.2017
7,04:00.8,,1,Miroslav Semerád,63,Slavia IPS Praha,Praha,23.2.1980
8,04:01.0,,7,Marek Strnad,1,TJ Nová Včelnice,Ostrava,25.1.2018
9,04:01.3,,1,Vladimír Novák,63,LIAZ Jablonec n. N.,Praha,9.2.1980
10,04:01.5,,2b1,Zdeněk Pichl,83,Sokol Kolín,Praha,8.2.2000
11,04:01.5,,9b2,Nicholas Jan Adensam,2,AK Olomouc,Wien,26.1.2019
12,04:01.5,,2b1,Tomáš Martínek,0,Atletika Stará Boleslav,Praha,24.1.2017
13,04:01.8,,1b1,Martin Kováčech,1,SSK Vítkovice,Ostrava,3.2.2018
14,04:02.1,,1,Jan Holberg,60,VŽKG Vítkovice,Ostrava,20.2.1977
15,04:02.4,,3b1,Nico Boketta,2,Atletika Jižní Město,Praha,16.1.2018
16,04:02.4,,4b1,Jakub Stibal,1,AC Mor. Slavia Brno,Bratislava,18.1.2018
17,04:02.7,,1,Petr Jakob,62,Slavoj Bruntál,Praha,18.2.1979
18,04:02.7,,2,Jakub Zemaník,95,SSK Vítkovice,Bratislava,24.1.2012
19,04:03.8,,3,Jaromír Skalický,68,Baník Příbram,Potsdam,
20,04:04.0,,1,Tomáš Novotný,73,Dynamo Pardubice,Praha,3.2.1990
21,04:04.4,,6,Jan Nitka,70,Lokomotiva Olomouc,Praha,15.2.1987
22,04:04.5,,1b1,Jaroslav Regent,64,Spartak Lipník,Ostrava,1.2.1981
23,04:04.5,,2b2,Jakub Šesták,94,Olympia Bruntál,Bratislava,30.1.2011
24,04:04.6,,4,Libor Bystroň,73,TJ Vítkovice,Ostrava,14.1.1990
25,04:04.7,,2,Jan Pešava,72,LIAZ Jablonec n. N.,Praha,29.1.1989
26,03:56.2,,1,Lubomír Pokorný,75,TJ Jičín,Jablonec n. N.,22.1.1992
27,03:59.3,,1,Radim Kunčický,67,TŽ Třinec,Jablonec n. N.,12.2.1984
28,04:00.8,,1,Luboš Stloukal,71,Zbrojovka Brno,Jablonec n. N.,14.2.1988
29,04:02.5,,2,Tomáš Kosmák,64,Technika Brno,Jablonec n. N.,15.2.1981
30,04:03.0,,3,Roman Vavřík,67,LIAZ Jablonec n. N.,Jablonec n. N.,12.2.1984
31,04:03.6,,3,Jiří Florián,64,Slavoj Slavkov,Jablonec n. N.,15.2.1981
32,04:04.0,,3,Stanislav Vrba,76,ASK Elna Počerady,Jablonec n. N.,30.1.1993
33,04:04.6,,1,Pavel Hujer,69,LIAZ Jablonec n. N.,Jablonec n. N.,25.1.1986
,,,,,,,,
Hala-Dorostenci-3000 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,08:41.6,,4b1,Jakub Holuša,88,Sokol Opava,Bratislava,6.2.2005
2,08:42.2,,1,Petr Veselý,67,Slávia Kroměříž,Ostrava,29.1.1984
3,08:42.9,,3b1,Ladislav Král,64,Slezan Opava,Ostrava,1.2.1981
4,08:43.6,,6b2,Zdeněk Mezuliáník,65,Slavoj Bruntál,Ostrava,25.1.1981
5,08:44.0,,2,Zdeněk Štěpánek,67,Sparta ČKD Praha,Ostrava,29.1.1984
6,08:44.2,,10,René Sasyn,0,TŽ Třinec,Praha,25.2.2017
7,08:44.7,,4,Václav Pařík,63,Sklostroj Turnov,Praha,23.2.1980
8,08:45.2,,2,Martin Tomášek,70,RH Praha,Praha,14.2.1987
9,08:46.3,,2,Michal Blažek,71,Slavoj Bruntál,Ostrava,9.1.1988
10,08:46.5,,1,Zdeněk Pichl,83,Sokol Kolín,Praha,
11,08:47.2,,3,Zdeněk Šiška,63,Bohemians ČKD Praha,Praha,9.2.1980
12,08:47.5,,2,Rostislav Ševců,65,Slávia Kroměříž,Ostrava,7.2.1982
13,08:48.0,,3,Michal Chlud,66,TJ Gottwaldov,Praha,13.2.1983
14,08:49.1,,1,František Nový,74,UZŠ Plzeň,Praha,2.2.1991
15,08:49.1,,2,Jan Tlustý,74,AC Poldi Kladno,Praha,2.2.1991
16,08:49.5,,1b1,Jakub Živec,90,Lovochemie Lovosice,Praha,16.1.2007
17,08:49.7,,1,Nico Boketta,2,Atletika Jižní Město,Ostrava,24.2.2018
18,08:50.5,,1,Jakub Davidík,2,TJ Baník Stříbro,Praha,20.1.2019
19,08:50.7,,1,Daniel Kotyza,0,VSK Univerzita Brno,Ostrava,18.2.2017
20,08:50.7,,1,Filip Sasínek,96,AK Hodonín,Bratislava,9.2.2013
21,08:51.0,,,Václav Švec,60,Poldi SONP Kladno,Praha,22.2.1977
22,08:51.7,,4,Luboš Gaisl,63,Dynamo Pardubice,Praha,9.2.1980
23,08:28.3,,5,Lubomír Pokorný,75,TJ Jičín,Jablonec n. N.,29.2.1992
24,08:30.3,,2,Vladimír Novák,63,LIAZ Jablonec n. N.,Jablonec n. N.,12.1.1980
25,08:37.7,,4,Jiří Florián,64,Slavoj Slavkov,Jablonec n. N.,14.2.1981
26,08:41.8,,1,Petr Veselý,67,Slávia Kroměříž,Jablonec n. N.,11.2.1984
27,08:45.6,,5b1,Tomáš Krutský,79,AC Slovan Liberec,Jablonec n. N.,20.1.1996
28,08:47.2,,6,Pavel Michálek,62,LIAZ Jablonec n. N.,Jablonec n. N.,13.1.1979
29,08:48.2,,1,Pavel Jehlička,57,Slovan Kadaň,Jablonec n. N.,26.1.1974
30,08:49.9,,1,Milan Pešava,69,LIAZ Jablonec n. N.,Jablonec n. N.,18.1.1986
31,08:51.2,,2b2,Petr Pícha,70,LIAZ Jablonec n. N.,Jablonec n. N.,10.1.1987
32,08:51.6,,4,Miroslav Mylena,65,LIAZ Jablonec n. N.,Jablonec n. N.,27.2.1982
,,,,,,,,
Hala-Dorostenci-60 m př.,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,7.81,,1A,Jiří Pechar,1,A.C. Sparta Praha,Praha,3.2.2018
2,7.87,,1A,Lukáš Patera,86,AC Pardubice,Praha,23.2.2002
3,7.87,,1,David Sklenář,97,AC Pardubice,Praha,22.2.2014
4,7.89,,1,Václav Sedlák,93,Dukla Praha,Praha,20.2.2010
5,7.93,,1b1,Michal Blažek,1,Sokol Hradec Králové,Praha,27.1.2018
6,7.96,,1,Michal Barvík,84,AC Havířov,Bratislava,28.1.2001
7,7.98,,1r2,Dominik  Krivák,99,ASK Slavia Praha,Praha,20.2.2016
8,7.98,,2,Sebastian Merta,1,USK Praha,Ostrava,24.2.2018
9,7.99,,1,Jaroslav Brückler,92,AC Slovan Liberec,Praha,14.2.2009
10,7.99,,1,Adam  Šufliarský,99,TJ Dukla Praha,Praha,20.2.2016
11,8,,2,Antonín Wijas,1,ASK Slavia Praha,Praha,23.1.2018
12,8.02,,1,Jiří Smola,88,SK Hranice,Praha,12.2.2005
13,8.02,,1,Pavel Maslák,91,AO Slavia Havířov,Bratislava,2.2.2008
14,8.05,,2A,Tomáš Král,85,Sokol Č. Budějovice,Praha,23.2.2002
15,8.05,,2,Martin Pokorný,88,AC Mor. Slavia Brno,Praha,12.2.2005
16,8.05,,1,Lukáš  Desenský ,98,Sokol Hradec Králové ,Praha,5.3.2015
17,8.06,,1,Samuel Lawson,2,AK Olomouc,Ostrava,20.1.2018
18,8.07,,2A,Radim Vlček,84,SSK Vítkovice,Praha,24.2.2001
19,8.08,,1,Michael  Kijanica ,98,Atletika Poruba,Praha-OJ ,14.2.2015
20,8.09,,1r1,Tomáš Homola,95,TŽ Třinec,Bratislava,4.2.2012
21,8.09,,1r3,Marek Kret,1,SSK Vítkovice,Ostrava,24.2.2018
22,8.09,,1B,Tomáš Flekač,2,AC Pardubice,Olomouc,9.2.2019
23,8.1,,1A,Stanislav Sajdok,83,TŽ Třinec,Praha,19.2.2000
24,8.1,,1,Josef Polách,90,AK Zlín,Praha,17.2.2007
25,8.1,,2,Tomáš Pulíček,97,AC Jablonec n. N.,Praha,22.2.2014
26,8.1,,1r1 ,Rostislav  Mališka ,98,SK Přerov ,Bratislava ,7.2.2015
27,8.11,,1A,Michal Kaššai,71,Zbrojovka Brno,Jablonec n. N.,13.2.1988
28,8.11,,1A,Ondřej Škrland,2,Lokomotiva Beroun,Praha,12.1.2019
29,7.5,,1,Lukáš Patera,86,AC Pardubice,Pardubice,8.2.2003
,,,,,,,,
Hala-Dorostenci-4x200 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,01:30.0,,1b1,ASK Slavia Praha ,,,Ostrava,25.2.2018
2,01:31.3,,2b1,Sokol Kolín ,,,Ostrava,19.2.2017
3,01:31.7,,2b1,AK Olomouc ,,,Ostrava,25.2.2018
4,01:31.8,,1b4,AC Pardubice ,,,Praha,21.2.2016
