Hala-Muži-60 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
8,07:58.1,,2b1,Jiří Sýkora,54,Slezan Opava,Praha,28.1.1981
9,07:58.6,,1b1,Vladimír Slouka,62,LIAZ Jablonec n. N.,Praha,21.1.1989
10,07:59.2,,5,Lubomír Pokorný,75,Dukla Praha,Erfurt,3.2.1999
11,07:59.5,,1,Milan Drahoňovský,66,Dukla Praha,Wien,15.2.1997
12,08:00.2,,1,Pavel Michálek,62,LIAZ Jablonec n. N.,Praha,28.1.1987
13,08:00.3,,2,Petr Nechanický,66,RH Praha,Athína,11.2.1989
14,08:00.9,,1b1,Lukáš Vydra,73,Dukla Praha,Praha,31.1.1996
15,08:01.0,,3b1,Jiří Klesnil,60,Poldi Kladno,Praha,21.1.1989
16,08:01.0,,1b1,Arpád Bari,57,Dukla Praha,Praha,27.2.1980
17,08:01.4,,1b1,Martin Zvoníček,51,SK Slavia IPS Praha,Praha,8.2.1974
18,08:01.5,,1,Luboš Gaisl,63,LIAZ Jablonec n. N.,Praha,29.1.1986
19,08:01.6,,1,Stanislav Petr,44,RH Praha,Praha,3.2.1976
20,08:01.8,,2,Jan Kubista,60,LIAZ Jablonec n. N.,Praha,28.1.1987
21,07:56.4,,1,Vladimír Slouka,62,LIAZ Jablonec n. N.,Jablonec n. N.,4.2.1989
22,07:57.0,,2,Pavel Michálek,62,LIAZ Jablonec n. N.,Jablonec n. N.,4.2.1989
23,07:57.3,,1,Jan Pešava,72,Dukla Praha,Jablonec n. N.,1.3.1998
24,07:59.2,,2,Jan Kraus,65,LIAZ Jablonec n. N.,Jablonec n. N.,10.1.1987
25,7:58.16ex,,1,Luboš Šubrt,64,Dukla Praha,Praha,16.3.1994
26,7:58.99ex,,3,Milan Drahoňovský,66,Dukla Praha,Praha,16.3.1994
,,,,,,,,
Hala-Muži-60 m př.,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,7.44,,1,Petr Svoboda,84,PSK Olymp Praha,Praha,27.2.2010
2,7.56,,1,Aleš Höffer,62,Slavia IPS Praha,Budapest,6.3.1988
3,7.6,,3,Jiří Hudec,64,VŠ Praha,Karlsruhe,24.2.1989
4,7.61,,2,Igor Kováč,69,Dukla Praha,Stuttgart,2.2.1992
5,7.64,,7,Martin Mazáč,90,VSK Univerzita Brno,Praha,15.2.2014
6,7.65,,1,Stanislav Sajdok,83,Dukla Praha,Praha,23.2.2008
7,7.73,,2A,Pavel Šáda,64,Dukla Praha,Jablonec n. N.,5.2.1989
8,7.75,,1,Ladislav Burdel,79,Dukla Praha,Praha,16.2.2002
9,7.76,,1A,Tomáš Dvořák,72,Dukla Praha,Praha,12.2.2000
10,7.81,,1,Jan Čech,81,ASK Slavia Praha,Praha,21.2.2004
11,7.81,,1r1,Petr Peňáz,91,PSK Olymp Praha,Linz,12.2.2016
12,7.84,,3A,Roman Šebrle,74,Dukla Praha,Praha,12.2.2000
13,7.84,,2,Adam Sebastian Helcelet,91,PSK Olymp Praha ,Praha,25.2.2017
14,7.85,,1A,Jiří Čeřovský,55,LIAZ Jablonec n. N.,Jablonec n. N.,20.2.1983
15,7.87,,1r3 ,Václav Sedlák,93,Dukla Praha,Praha,21.2.2015
16,7.88,,4A,Petr Obdržálek,66,Sparta ČKD Praha,Jablonec n. N.,5.2.1989
17,7.88,,S,Robert Změlík,69,AC Start Karlovy Vary,Paris,9.3.1997
18,7.89,,1,David Sklenář,97,PSK Olymp Praha,Praha,17.2.2018
19,7.9,,1A,Petr Mucha,62,Sparta ČKD Praha,Jablonec n. N.,9.2.1986
20,7.9,,4,David  Sklenář,97,PSK Olymp Praha,Ostrava,27.2.2016
21,7.91,,3A,Jan Grabmüller,70,Slavia IPS Praha,Jablonec n. N.,28.1.1989
22,7.91,,1r2,Viktor Zbožínek,72,PSK Olymp Praha,Jablonec n. N.,26.2.1994
23,7.91,,2,Martin Pokorný,88,VSK Univerzita Brno,Luxembourg,19.1.2008
24,7.88ex,,P,Jan Poděbradský,74,Dukla Praha,Warszawa,7.3.2002
,,,,,,,,
Hala-Muži-4x200 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,01:25.3,,2b2,Reprezentační družstvo ,,,Wien,15.2.1997
2,01:26.2,,1b1,ASK Slavia Praha ,,,Praha,26.2.2017
3,01:26.3,,2b1,AK Škoda Plzeň ,,,Praha,26.2.2017
4,01:26.4,,1,PSK Olymp Praha ,,,Praha,18.2.2018
5,01:26.5,,1b1,Dukla Praha ,,,Praha,15.2.1998
6,01:26.8,,3,Sokol Hradec Králové ,,,Praha,18.2.2018
7,01:27.1,,2b1,USK Praha ,,,Praha,23.2.1997
8,01:27.3,,2b1,AC Slovan Liberec ,,,Praha,22.2.2015
9,01:27.4,,3b1,Sokol České Budějovice ,,,Praha,26.2.2017
10,01:27.7,,3b1,SK Spartak Praha 4 ,,,Praha,17.2.2013
11,01:27.9,,1,A.C. Sparta Praha ,,,Wien,30.1.1993
12,01:28.5,,2b1,AK Most ,,,Praha,16.2.2014
,,,,,,,,
Hala-Muži-4x400 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,03:04.1,,3,Reprezentační družstvo ,,,Praha,8.3.2015
2,03:06.1,,1,Dukla Praha ,,,Gent,27.2.2000
3,03:13.6,,1,ASK Slavia Praha ,,,Praha,28.2.2010
4,03:13.6,,1,PSK Olymp Praha ,,,Praha,25.2.2007
5,03:16.5,,2,Hvězda SKP Pardubice ,,,Praha,24.2.2008
6,03:16.7,,3b1,A.C. Tepo Kladno ,,,Praha,26.2.2006
7,03:20.6,,3,AK Most ,,,Praha,26.2.2012
8,03:20.8,,5,AK Kroměříž ,,,Praha,24.2.2008
9,03:21.2,,3b1,Jiskra Domažlice ,,,Praha,20.2.2005
10,03:22.2,,4,Sokol Královské Vinohrady Praha ,,,Praha,25.2.2007
11,03:23.9,,4b1,LIAZ Jablonec n. N. ,,,Praha,20.2.2005
,,,,,,,,
Hala-Muži-sedmiboj h,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,6438,,1,Roman Šebrle,74,Dukla Praha,Budapest,7.3.2004
2,6424,,1,Tomáš Dvořák,72,Dukla Praha,Gent,26.2.2000
3,6228,,1,Robert Změlík,69,AC Start Karlovy Vary,Paris,9.3.1997
4,6188,,1,Adam Sebastian Helcelet,91,PSK Olymp Praha ,Praha,12.2.2017
5,6182,,2,Kamil Damašek,73,Dukla Praha,Praha,16.2.1997
6,6021,,1,Jan  Doležal ,96,PSK Olymp Praha,Praha,11.2.2018
7,6006,,1,Jiří  Sýkora,95,PSK Olymp Praha,Praha,10.2.2019
8,5928,,1,Jan Poděbradský,74,Dukla Praha,Praha,17.2.2002
9,5913,,2,Jiří Ryba,76,T&F Pardubice,Praha,14.2.1999
10,5899,,1,Petr Svoboda,84,Dukla Praha,Clermont-Ferrand,6.2.2005
11,5883,,2,Marek Lukáš,91,PSK Olymp Praha ,Praha,8.2.2015
12,5878,,2,Tomáš Komenda,78,Dukla Praha,Manchester,12.1.2003
13,5790,,3,František Staněk,87,USK Praha,Praha,13.2.2011
14,5781,,1,Stanislav Sajdok,83,Dukla Praha,Sheffield,3.2.2008
15,5771,,2,Peter Sóldos,73,Dukla Praha,Praha,10.3.1996
16,5755,,1,Josef Karas,78,Dukla Praha,Praha,15.1.2006
17,5732,,3,Aleš Pastrňák,76,Dukla Praha,Praha,6.2.2000
18,5729,,4,Martin Jelínek,75,Dukla Praha,Praha,6.2.2000
19,5620,,8,David Sazima,87,USK Praha,Apeldoorn,31.1.2010
20,5614,,1,Pavel Havlíček,81,SSK Vítkovice,Praha,28.2.2004
21,5784dg,,2,Martin Jelínek,75,Dukla Praha,Praha,1.2.1998
,,,,,,,,
